ITEM NAME,ITEM DESCRIPTION
Materials Plus,"Materials Plus software is an image analysis package for measuring grain size, phases percentage, inclusions in steels, nodularity, porosity, decarburization, coating thickness’ based on ASTM standards.
-Area of HAZ
-Joint penetration
-Phase counting, etc.
Weld Check is a Microsoft Windows based product so reports are easily generated in MS Excel.
"
MEGA-M250S,"MEGA-M250S manual wheel feed abrasive cutting machine for 10-inch (250 mm) abrasive blades.  Features high torque motor, electronic brake system, twin T-slotted stainless steel clamping table, bottom chamber constructed of a rugged alloy base casting, fabricated metal protective hood, base support cabinet, 14 gallon (53 liter) recirculating cooling unit with connection  hoses ready for operation. Dimensions (WxDxH) 30 x 23 x 27-inch (760 x 580 x 685 mm) (hood closed), 30 x 23 x 39-inch (770 x 580 x 990 mm) (hood open), 250 lbs (113 kg).  Clamping devices sold separately.   Standard voltage 208Y - 3-phase (optional 380V 3-phase), 50-60 Hz (part no. MEGA-M250S)"
MEGA-T250S,"MEGA-T250S manual wheel and table feed abrasive cutting machine for 10-inch (250 mm) abrasive blades.  Features high torque servo motor, electronic brake system, twin T-slotted stainless steel clamping table, bottom chamber constructed of a rugged alloy base casting, fabricated metal protective hood, base support cabinet, 14 gallon (53 liter) recirculating cooling unit with connection  hoses ready for operation. Dimensions (WxDxH) 30 x 32 x 28-inch (760 x 810 x 710 mm) (hood closed), 30 x 39 x 37-inch (760 x 990 x 940 mm) (hood open), 375 lbs (170 kg).  Table dimensions (WxD) 11-inches x 18.25-inches (280 mm x 470 mm)  Clamping devices sold separately.   Standard voltage 208Y - 3-phase (optional 380V 3-phase), 50-60 Hz (part no. MEGA-T250S)"
MEGA-T300A,"MEGA-T300A automated / manual Y-axis with automated X-axis table feed and manual wheel feed abrasive cutting machine for 12-inch (300 mm) abrasive blades.  Features high torque servo motor, electronic brake system, cutting capacity up to 4-inch (100 mm) solid stock,  twin T-slotted stainless steel clamping table, bottom chamber constructed of a rugged alloy base casting, fabricated metal protective hood, 14 gallon (53 liter) recirculating cooling unit with connection  hoses and integrated  base  cabinet  and  ready  for operation. Dimensions (WxDxH)  (WxDxH) 42 x 42 x 36.5-inch (1070 x 1070 x 930 mm) (hood open), 42 x 42 x 30-inch (1070 x 1070 x 760 mm) (hood closed), 500 lbs (230 kg).  Table dimensions (WxD) 11-inches x 18.25-inches (280 mm x 470 mm)  Clamping devices sold separately.   480V - 3-phase, 50-60 Hz (part no. MEGA-T300A-XY-480V)"
MEGA-T300S ,"MEGA-T300S manual wheel and table feed abrasive cutting machine for 12-inch (300 mm) abrasive blades.  Features high torque servo motor, electronic brake system, cutting capacity up to 4-inch (100 mm) solid stock,  twin T-slotted stainless steel clamping table, bottom chamber constructed of a rugged alloy base casting, fabricated metal protective hood, 14 gallon (53 liter) recirculating cooling unit with connection  hoses and integrated  base  cabinet  and  ready  for operation. Dimensions (WxDxH) 42 x 42 x 36.5-inch (1070 x 1070 x 930 mm) (hood open), 42 x 42 x 30-inch (1070 x 1070 x 760 mm) (hood closed), 500 lbs (230 kg).  Table dimensions (WxD) 11-inches x 18.25-inches (280 mm x 470 mm)  Clamping devices sold separately.   Standard voltage 208Y - 3-phase (optional 380V 3-phase), 50-60 Hz (part no. MEGA-T300S)"
MEGA-T350A,"MEGA-T350A automated / manual Y-axis with automated X-axis table feed and manual wheel feed abrasive cutting machine for 14-inch (350 mm) abrasive blades.  Features high torque servo motor, electronic brake system, cutting capacity up to 4.5-inch (115 mm) solid stock,  twin T-slotted stainless steel clamping table, bottom chamber constructed of a rugged alloy base casting, fabricated metal protective hood, 14 gallon (53 liter) recirculating cooling unit with connection  hoses and integrated  base  cabinet  and  ready  for operation. Dimensions (WxDxH) 42 x 42 x 70-inch (1070 x 1070 x 1780 mm) (hood open), 42 x 42 x 64-inch (1070 x 1070 x 1625 mm) (hood closed), 650 lbs (300 kg).  Table dimensions (WxD) 11-inches x 18.25-inches (280 mm x 470 mm)  Clamping devices sold separately.   480V - 3-phase, 50-60 Hz (part no. MEGA-T350A-XY-480V)"
MEGA-T350S ,"MEGA-T350S manual wheel and table feed abrasive cutting machine for 14-inch (350 mm) abrasive blades.  Features high torque servo motor, electronic brake system, cutting capacity up to 4.5-inch (115 mm) solid stock,  twin T-slotted stainless steel clamping table, bottom chamber constructed of a rugged alloy base casting, fabricated metal protective hood, 14 gallon (53 liter) recirculating cooling unit with connection  hoses and integrated  base  cabinet  and  ready  for operation. Dimensions (WxDxH) 42 x 42 x 70-inch (1070 x 1070 x 1780 mm) (hood open), 42 x 42 x 64-inch (1070 x 1070 x 1625 mm) (hood closed), 500 lbs (230 kg).  Table dimensions (WxD) 11-inches x 18.25-inches (280 mm x 470 mm)  Clamping devices sold separately.   Standard voltage 208Y - 3-phase (optional 380V 3-phase), 50-60 Hz (part no. MEGA-T350S-XY)"
MEGA-T400A,"MEGA-T400A automated / manual Y-axis with automated X-axis table feed and manual wheel feed abrasive cutting machine for 16-inch (400 mm) abrasive blades.  Features constant torque variable speed servo motor, electronic brake system, twin T-slotted stainless steel clamping table, bottom chamber constructed of a rugged alloy base casting, fabricated metal protective hood, base support cabinet, 14 gallon (53 liter) recirculating cooling unit with connection  hoses ready for operation. Dimensions (WxDxH) 48.2-inches x 51.4-inches x 63-inches (80-inches with hood open), 1225 mm x 1305 mm x 1600 mm (2035 mm with hood open), 880 lbs (400 kg).  Table dimensions (WxD) 11-inches x 18.25-inches (280 mm x 470 mm)  Clamping devices sold separately.   Standard voltage 480V - 3-phase, 50-60 Hz (part no. MEGA-T400A-XY)"
MEGA-T400S ,"MEGA-T400S manual wheel and table feed abrasive cutting machine for 16-inch (400 mm) abrasive blades.  Features constant torque variable speed servo motor, electronic brake system, twin T-slotted stainless steel clamping table, bottom chamber constructed of a rugged alloy base casting, fabricated metal protective hood, base support cabinet, 14 gallon (53 liter) recirculating cooling unit with connection  hoses ready for operation.  Dimensions (WxDxH) 48.2-inches x 51.4-inches x 63-inches (80-inches with hood open), 1225 mm x 1305 mm x 1600 mm (2035 mm with hood open), 880 lbs (400 kg).  Table dimensions (WxD) 11-inches x 18.25-inches (280 mm x 470 mm)  Clamping devices sold separately.   Standard voltage 480V - 3-phase, 50-60 Hz (part no. MEGA-T400S)"
Microhardness-Pro,"Microhardness Pro 4.2 is an easy to use image analysis software for measuring microhardness and for generating easy to distribute Excel reports. It is a single screen Windows based system. 
The Microhardness Pro 4.2 software can handle both gray monochrome (8 bit) and color (24 bit) images. Multiple images of any size can be opened and displayed on the screen for analysis or comparison. The software supports the most common formats like BMP, JPEG, TIFF, PNG, GIF and PSD. Live images also can be observed and captured on the same platform. Since the system is in a Windows environment, graphs and charts displayed on the monitor can be quickly transferred into other Windows based programs such as, MS Word, MS Excel or any other commercial Windows based software for the purpose producing reports and presentations.
"
NANO-1000S,"NANO-1000S single wheel grinder polisher bench top polisher for 8 and/or 10-inch wheels.   Features variable speed (100-1000 rpm with 1 rpm increments), input voltage 110V/220V single phase converted to 3-phase for higher torque (1 hp) motor, preset fast speed buttons (100, 200, 300 rpm), auto mode (programmable speed, direction and time), tough and rugged GRP (glass reinforced plastic) construction, water inlet and outlet for wheel lubrication.  Includes splash guard and cover.  Working wheels and paper backed paper ring are quoted separately.  Optional FEMTO-1100S polishing heads can be ordered with the system or for later installation.  The NANO-1000S can be operated at either 110V or 220V (requires wirnig change on the motor)  (part no. NANO-1000S).
"
NANO-1200S,"NANO-1200T single wheel grinder polisher bench top polisher for 12 and/or 14-inch wheels.   Features variable speed (100-1000 rpm with 1 rpm increments), input voltage 110V/220V single phase converted to 3-phase for higher torque (1.5 hp) motor, preset fast speed buttons (100, 200, 300 rpm), auto mode (programmable speed, direction and time), tough and rugged GRP (glass reinforced plastic) construction, water inlet and outlet for wheel lubrication.  Includes splash guard and cover.  Working wheels and paper backed paper ring are quoted separately.  The NANO 1200T polisher can be operated at 110V or 220V (requires wiring change on the motor) (part no. NANO-1200T)."
NANO-2000S,"NANO-2000S double wheel grinder polisher bench top polisher for 8 and/or 10-inch wheels.   Features variable speed (100-1000 rpm with 1 rpm increments), input voltage 110V/220V single phase converted to 3-phase for higher torque (1 hp) motor, preset fast speed buttons (100, 200, 300 rpm), auto mode (programmable speed, direction and time), tough and rugged GRP (glass reinforced plastic) construction, water inlet and outlet for wheel lubrication.  Includes splash guard and cover.  Working wheels and paper backed paper ring are quoted separately.  Optional FEMTO-1100S polishing heads can be ordered with the system or for later installation.  The NANO 2000T polisher can be operated at 110V or 220V (requires wirnig change on the motor)  (part no. NANO-2000S)."
OMEGA- RT-60/150,"OMEGA RT-60/150 is a semi-automated digital Rockwell hardness tester.  Features 60 Kgf, 100 Kgf and 150 Kgf loading, automatic conversion to 14 different hardness scales (HRA, HRB,  HRC,  HRD,  HRF,  HV,  HK,  HBW,  HR15N,  HR30N,  HR45N,  HR15T,  HR30T,  HT45T), LCD displays hardness, loading time and dwell time (1-60 seconds) (part no. OMEGA-60/150)"
OMEGA-5000-VZ,"OMEGA-5000-VZ  is semi-automated Macro Vickers hardness testing instrument  with auto shifting between indenter and objective lens.  Features include variable testing forces (1, 2, 2.5, 3, 5, 10, 20, 30 and 50 kilogram load), 10X and 20X objectives. (Part no. OMEGA 5000-VZ)"
OMEGA-AUTO-HB,"The OMEGA AUTO-HB Digital Brinell tester is a fully automated Brinell tester designed to evaluate metallographic specimen hardness. 
Features:
- Testing range of ~8 to 650 HBW  
- Measurement is incorporated into unit with results  
  displayed on a LCD screen
- One key operation
- Displays data statistics, hardness conversion, and 
  limitation setting 
- Loading by high accuracy force sensor
- Compensation of force loss during loading with micro 
  central processing unit 
- Test forces (kg) 62.5, 100, 125, 187.5,  250, 500, 750, 1000, 
   1500, 3000
- Robust and durable design
- Fully automated
 (part no. OMEGA AUTO-HB)
"
OMEGA-AUTO-RST,"Rockwell Fully Automated Hardness OMEGA-AUTO-RST is an automated Dual Rockwell and Superficial Rockwell hardness tester. The OMEGA-AUTO hardness testers are designed to accurately evaluate metallographic Rockwell and/or Superficial Rockwell specimen hardness. 

Features:
- One touch operation, Auto load change, Auto lifting, Auto loading, Auto measuring, Auto conversion, Data transmission, Color touch screen, Rockwell Scales: HRA, HRB, HRC, HRD, HRE, HRG, HRH, HRK, HRL, HRM, HRP, HRR, HRS, HRV, Superficial Rockwell Scales: 15T, 30T, 45T, 15W, 30W, 45W, 15X, 30X, 45X, 15Y, 30Y, 45Y, 15N, 30N, 45N, Conversion Scale: HRC, HRB, HRA, HV, HK, HBW, etc, Conversion Standard: ASTM, DIN, Ability to set upper and lower limits, Stores up to 2000 single test results, 1000 group test results, Optional data analysis software and Bluetooth receiver to input and analyze data, Supports FexQMS data analysis and control software
(Part no. OMEGA-AUTO-RST)"
OMEGA-AUTO-RT,"Rockwell Fully Automated Hardness OMEGA-AUTO-RT is an automated digital Rockwell hardness tester.  The OMEGA-AUTO hardness testers are designed to accurately evaluate metallographic Rockwell specimen hardness. 
Features:
- One touch operation, Auto load change, Auto lifting, Auto loading, Auto measuring, Auto conversion, Data transmission, Color touch screen, Rockwell Scales: HRA, HRB, HRC, HRD, HRE, HRG, HRH, HRK, HRL, HRM, HRP, HRR, HRS, HRV, Conversion Scale: HRC, HRB, HRA, HV, HK, HBW, etc, Conversion Standard: ASTM, DIN, Ability to set upper and lower limits, Stores up to 2000 single test results, 1000 group test results, Optional data analysis software and Bluetooth receiver to input and analyze data, Supports FexQMS data analysis and control software
(Part no. OMEGA-AUTO-RT)"
OMEGA-AUTO-ST,"Superficial Rockwell Fully Automated Hardness OMEGA-AUTO-ST is an automated Superficial Rockwell hardness tester.  The OMEGA-AUTO hardness testers are designed to accurately evaluate metallographic Superficial Rockwell specimen hardness. 
Features:
- One touch operation, Auto load change, Auto lifting, Auto loading, Auto measuring, Auto conversion, Data transmission, Color touch screen, Superficial Rockwell Scales: 15T, 30T, 45T, 15W, 30W, 45W, 15X, 30X, 45X, 15Y, 30Y, 45Y, 15N, 30N, 45N, Conversion Scale: HRC, HRB, HRA, HV, HK, HBW, etc, Conversion Standard: ASTM, DIN, Ability to set upper and lower limits, Stores up to 2000 single test results, 1000 group test results, Optional data analysis software and Bluetooth receiver to input and analyze data, Supports FexQMS data analysis and control software
(Part no. OMEGA-AUTO-ST)"
OMEGA-DIGI-RST,"OMEGA-DIGI-SRT is a semi-automated digital dual Rockwell / Superficial Rockwell hardness tester. The OMEGA-DIGI-SRT hardness tester is designed to evaluate metallographic specimen Rockwell and/or Superficial Rockwell hardness. 
Features:
- Color touch screen that displays loading force, indenter type, dwell time, and conversion scale
- Motorized control of loading, dwell, and unloading 
- Built-in microprocessor that automatically computes maximum, minimum, mean and deviation values
- Resolution 0.1 HR
- Rockwell/ Superficial Rockwell  - 15 Kgf, 30 Kgr, 45 Kgr, 60 Kgf, 100 Kgf and 150 Kgf loading
- Automatic conversion to 14 different hardness scales (HRA, HRB,  HRC,  HRD,  HRF,  HV,  HK,  HBW,  HR15N,  HR30N,  HR45N,  HR15T,  HR30T,  HT45T) 
- Store up to 2000 single testing results and 1000 group results for review and analysis
- LCD displays hardness
- Loading time and dwell time (1-60 seconds)
- Includes a RS232 data output 
(part no. OMEGA-DIGI-RST)"
OMEGA-DIGI-RT,"OMEGA-DIGI-RT is a semi-automated digital Rockwell hardness tester. The OMEGA-DIGI-RT hardness tester is designed to evaluate metallographic specimen Rockwell hardness. 
Features:
- Color touch screen that displays loading force, indenter type, dwell time, and conversion scale
- Motorized control of loading, dwell, and unloading 
- Built-in microprocessor that automatically computes maximum, minimum, mean and deviation values
- Resolution 0.1 HR
- Rockwell - 60 Kgf, 100 Kgf and 150 Kgf loading
- Automatic conversion to 14 different hardness scales (HRA, HRB,  HRC,  HRD,  HRF,  HV,  HK,  HBW,  HR15N,  HR30N,  HR45N,  HR15T,  HR30T,  HT45T) 
- Store up to 2000 single testing results and 1000 group results for review and  analysis
- LCD displays hardness
- Loading time and dwell time (1-60 seconds)
(part no. OMEGA-DIGI-RT)"
OMEGA-DIGI-ST,"OMEGA-DIGI-ST is a semi-automated digital Superficial Rockwell hardness tester. The OMEGA-DIGI-ST hardness tester is designed to evaluate metallographic specimen Superficial Rockwell hardness. 
Features:
- Color touch screen that displays loading force, indenter type, dwell time, and conversion scale
- Motorized control of loading, dwell, and unloading 
- Built-in microprocessor that automatically computes maximum, minimum, mean and deviation values
- Resolution 0.1 HR
- Superficial Rockwell  - 15 Kgf, 30 Kgr, and 45 Kgr loading
- Automatic conversion to 14 different hardness scales (HRA, HRB,  HRC, HRD,  HRF,  HV,  HK,  HBW,  HR15N,  HR30N,  HR45N,  HR15T,  HR30T, HT45T) 
- Store up to 2000 single testing results and 1000 group results for review and analysis
- LCD displays hardness
- Loading time and dwell time (1-60 seconds)
(part no. OMEGA-DIGI-ST)"
OMEGA-HB,"The OMEGA-HB Brinell tester is a basic economical manual Brinell tester (Part No. OMEGA-HB) designed to evaluate metallographic specimen hardness.   Supplied with 20X scope fro external measurement (recommended BrinScan camera and software).
Features:
- Testing range of ~8 to 650 HBW  
- Test forces (kg) 62.5, 100, 125, 187.5,  250, 500, 750, 1000, 
   1500, 3000
- Robust and durable design
- Economical manual system
 (part no. OMEGA-HB)"
OMEGA-HB-3000,"OMEGA HB-3000 Digital Brinell tester for a testing range of ~8 to 650 HBW.   Measurement is incorporated into unit with results displayed on a LCD screen.  Test forces (kg) 62.5, 100, 125, 187.5, 250, 500, 750, 1000, 1500, 3000."
OMEGA-RT,"OMEGA-RT is a manual basic low cost metallographic specimen Rockwell Hardness Tester 
Features:
- OMEGA-RT Load selection of 60, 100 and 150 Kgf  (Rockwell)
- Manual instruments
(part no. OMEGA-RT)"
OMEGA-RT2,"OMEGA-RT2 is a manual basic low cost metallographic specimen Rockwell Hardness Tester 
Features:
- OMEGA-RT Load selection of 60, 100 and 150 Kgf  (Rockwell)
- Manual instruments
(part no. OMEGA-RT2)"
OMEGA-SRT-15/150 ,"OMEGA SRT-15/150  automated digital Rockwell / Superficial Rockwell Testing machine.  Load selection of 60, 100 and 150 kgf (Rockwell) and 15, 30 and 45 kgf (Superficial Rockwell).  Scales include HRA, HRB, HRC, HRD, HRF, HV ,HK, HBW, HR15N, HR30N, HR45N, HR15T, HR30T and HR45T.  Digital control and 0.1 HR resolution with LCD digital display with adjustable 1-60 second dwell time (part no. OMEGA-SRT-15/150)"
OMEGA-ST,"OMEGA-ST is a manual basic low cost metallographic specimen Superficial Rockwell Hardness Tester 
Features:
- OMEGA-ST Load selection of 15, 30 and 45 Kgf  (Rockwell)
- Manual instruments
(part no. OMEGA-ST)"
PENTA-5000A,"PENTA-5000 5-station hand grinder offers the small lab the ability to prepare samples for macro viewing within minutes.    This hand grinder offers 5 stations for coarse to fine grinding.  With the addition of the 5th station a near polished specimen can be obtained using a 1200 (P4000) grit SiC paper.  The PENTA-5000 has an easy to advance system for providing fresh abrasive for consistent and rapid grinding.  The PENTA-5000 also has an adjustable flow valve for wet grinding.  The PENTA-5000 is a stationary grinder using 3-7/16-inches x 60-feet rolls set up for 240, 360,  600, 800 and 1200 grit abrasive (part no. PENTA-5000)"
PENTA-7500S,PENTA-7500S wet or dry belt grinder for coarse grinding.  The PENTA-7500 also exclusively features a square grinding attachment to hold the specimen mounts perpendicular during grinding (holders for fixture sold separately) (part no. PENTA-7500).
PICO-155P,"PICO-155P precision cutter (part no. PICO 155) with touch controls and built-in recirculating pump. Fits 3-inch (75 mm) up to 7-inch (175 mm) diameter blades. Features: Variable speed 150 Watt multi-voltage motor varying from 50-1500 rpm cutting with digital speed readout, built-in coolant pump and tank, precision micrometer, counterbalanced sliding load system, automatic cut-off switch, magnetic safety switch for the hood, and emergency stop button. The PICO-155 has a built in transformer so it can be operated at either 110V or 220V. Accessories included with the saw are the universal vise (part no. P150-702), double parallel vise (part no. P150-703), specimen adhering vise (part no. P150-709), specimen vise for irregular shaped specimens (part no. P150-706), teardrop holder for 0.7-1.6 inch round specimens, (part no. P150-710), specimen vise for fasteners (part no. P150-711), and dressing unit (part no. P150-701)"
PICO-155S,"PICO-155S precision cutter (part no. PICO 155S) with touch-screen controls and built-in recirculating pump. Fits 3-inch (75 mm) up to 7-inch (175 mm) diameter blades. Features: Variable speed 150 Watt multi-voltage motor varying from 50-1500 rpm cutting with digital speed readout, built-in coolant pump and tank, precision micrometer, counterbalanced sliding load system, automatic cut-off switch, magnetic safety switch for the hood, and emergency stop button. The PICO-155S has a built in transformer so it can be operated at either 110V or 220V. Accessories included with the saw are the universal vise (part no. P150-702), double parallel vise (part no. P150-703), specimen adhering vise (part no. P150-709), specimen vise for irregular shaped specimens (part no. P150-706), teardrop holder for 0.7-1.6 inch round specimens, (part no. P150-710), specimen vise for fasteners (part no. P150-711), and dressing unit (part no. P150-701)"
PICO-200A,PICO-200A automated high speed table saw (part no. PICO-200A)
PICO-200S,PICO-200S is a high speed (500-3000 rpm) manual variable speed table saw (part no. PICO-200S)
RC-1000A,"Recirculating tank for NANO Polishers, includes tank, filter housing, pump, coarse, medium and fine filters (part no. RC-1000)"
SPEC-STORE,"Storage cabinet with 10 stainless steel drawers.  Size: 21.75 x 18.5 x 27-inches (552 x 470 x 688 mm). Fits two 1-inch (25 mm), 1.25 (30 mm), 1.5-inch, 40 mm and 2-inch (50 mm) specimen storage trays per drawer (trays sold separately) (cat. no. SPEC-STORE)"
TP-7100S,"TERAPRESS TP-7100S programmable pneumatic automated mounting press (Cat No TP-7100S) has a solid, easy to use, robust design (mold sold separately)
Features:
- Easy pneumaatic force control 
- 1-inch to 2-inch interchangeable or fixed heater/molds 
- Rapid ram movement for faster throughput
- Multiple cooling modes (temperature, time, or manually)
- Fast or slow cooling rates
- Automatic and programmable
. The TERAPRESS 7100S mounting press is available in 110V or 220V.  
Optional 14 gallon recirculating tank (part no. TP-TANK).
(Catalog No. TP-7100S)"
TP-7500S,"TERAPRESS TP-7500S programmable electro-hydraulic automated compression mounting press with interchangeable molds (molds sold separately) (cat. no. TP-7500S)
Features:
Easy electro-hydraulic force control 
- Easy electro-hydraulic force control 
- 1-inch to 2-inch interchangeable or  fixed heater/molds 
- Rapid ram movement for faster throughput
- Multiple cooling modes (temperature, time, or manually)
- Fast or slow cooling rates
- Automatic and programmable
. The TERAPRESS 7500S mounting press is available in 110V or 220V.  
Optional 14 gallon reciculating tank (part no. TP-TANK).
(Catalog No. TP-7500S)"
TP-TANK,TERAPRESS recirculation / cooling tank with pump (part no. TP-TANK)
UCLEAN,UCLEAN Ultrasonic cleaner (part no. UCLEAN)
TeraUV,UV light mounting chamber for accelerated castable curing resins (Cat. No. TeraUV)
VM-100,"The VM-100 digital stereo microscope (Part No. VM-100) has 0.7X ~ 4.5X electronic magnification with a zoom ratio of 6.5:1. With a built-in SD memory card, high resolution photo and video recordings are easy to obtain (includes monitor).

The VM-100 digital stereo microscope is ideal for  low magnification documentation of metallographic specimens prior to polishing and grinding. It is also very useful for measuring cracks, weld penetration depth and other topographical features. 
"
VM-500PLUS,"The VM-500PLUS digital stereo microscope with autofocus and built-in measurement capabilities (Part No. VM-500) has 0.7X ~ 4.5X electronic magnification with a zoom ratio of 6.5:1. With a built-in SD memory card, high resolution photo and video recordings are easy to obtain (includes monitor).

The VM-500PLUS digital stereo microscope is ideal for  low magnification documentation of metallographic specimens prior to polishing and grinding. It is also very useful for measuring cracks, weld penetration depth and other topographical features. 
"
WELD-CHECK,"Weld Check software is a powerful, easy-to-use tool that enhances the ability to quickly and efficiently measure critical welding features such as fillet welds, throat, leg lengths and penetration.
Fillet weld example: a fillet weld of approximately triangular cross section joining two surfaces at approximately right angles to each other can be measured for the following important measurements:
- Distance from the foot of the fillet to the center of the face (or throat)
-Distance from the root of the joint to the junction between the exposed surface of the weld and the base metal (leg)
-Angles and the root penetration
-Depth of HAZ (heat affected zone)
-Area of HAZ
-Joint penetration
-Phase counting, etc.
Weld Check is a Microsoft Windows based product so reports are easily generated in MS Excel.
"
ZETA-2000S,"ZETA 2000 4-fluid automated / manual dispenser used for controlling and regulating the application of abrasives such as diamond, alumina, collodial silica and lubricant solutions onto the polishing surface.  Features microprocessor controlled, 7-inch touchscreen interface, digital LED readout 4-independent peristaltic pumps, interfaces with the FEMTO-S autopolishing heads for automated abrasive fluid dispensing, capable of dispensing NANOMETER alumina and SIAMAT colloidal silica   (part no. ZETA-2000S)"
ZMS0745T,"ZMS0745T trinocular stereo microscope has an optical design for enhancing reproduction and true color imaging of the specimen.  The ZMS0745T stereo microscope has a magnification range of 7X to approximately 45X and is ideal for low magnification documentation of the metallographic specimen prior to polishing and grinding.  It is also very useful for measuring cracks, weld penetration depth and other topographical features (cat. no. 411-131).
"
